DateTime	Tweet Id	Text	Username
2022-05-28 15:21:34+00:00	1530569980776955905	*Viewer Discretion Advised* Unearthed audio of Heat Lifer @MichaelRyanRuiz giving up on the Miami Heat before yesterday’s game while attempting to cash out on ‘Celtics in 6’. #StartTheShave #HEATCulture https://t.co/RxbI8h2YrJ	LeBatardShow
2022-05-28 04:04:34+00:00	1530399605912920066	@MichaelRyanRuiz https://t.co/Fsjvf0fCmv	LeBatardShow
2022-05-28 03:57:16+00:00	1530397769516687360	https://t.co/5zcxFsN95K	LeBatardShow
2022-05-28 03:33:06+00:00	1530391689004732416	Buckets @KenTremendous https://t.co/f36aPY3KRh	LeBatardShow
2022-05-28 03:27:58+00:00	1530390396869693440	https://t.co/iav1Xaz9gj	LeBatardShow
2022-05-28 03:24:41+00:00	1530389568746299393	“Celtics in 6.” - @MichaelRyanRuiz https://t.co/3t53WPhRt9	LeBatardShow
2022-05-28 03:18:35+00:00	1530388033496915969	https://t.co/jXKR4J2zYq	LeBatardShow
2022-05-28 03:12:04+00:00	1530386393284939777	Pirates 3, Padres 0. Top of the 6th	LeBatardShow
2022-05-28 02:52:38+00:00	1530381503162724352	@KenTremendous https://t.co/FyRFeRgEMh	LeBatardShow
2022-05-28 02:38:06+00:00	1530377847457603585	https://t.co/GOFkrG39n1	LeBatardShow
2022-05-27 21:43:20+00:00	1530303666099572736	"#PointForward Willie Green joins @andre and @thekidet to discuss the injury (and honesty) that almost cost him, the dynamics of becoming a Black head coach, making sure his guys are growing off the court, and more.🏀
🔴 https://t.co/uKFWuVcdaa 🔵 https://t.co/klyDdIZrBg https://t.co/XXFHqfpfFX"	LeBatardShow
2022-05-27 21:40:00+00:00	1530302827507204098	"“We are the backbones of not only our families, but of this country…we get the least amount of respect.” - Be sure to check out @elleduncanESPN’s new project “Love Letters To Black Women”. 
@ReneeMontgomery @MontgomeryCoPod 
👑 https://t.co/VJugvf1zSM
👑 https://t.co/ouraQHkRwz https://t.co/nluKkkMB7i"	LeBatardShow
